City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,32.67,52,0,3.24,ZA,1708358997
1,puerto natales,-51.7236,-72.4875,14.25,88,100,6.17,CL,1708358997
2,praia,14.9215,-23.5087,25.89,61,0,6.5,CV,1708358997
3,bilibino,68.0546,166.4372,-26.58,73,42,3.13,RU,1708358997
4,bethel,41.3712,-73.414,3.34,50,0,7.2,US,1708358963
5,port-aux-francais,-49.35,70.2167,6.73,95,100,13.17,TF,1708358998
6,midvagur,62.0511,-7.1939,7.46,87,100,4.63,FO,1708358998
7,adamstown,-25.066,-130.1015,24.95,83,39,4.73,PN,1708358998
8,alnashi,56.1874,52.4792,-8.33,94,100,4.81,RU,1708358998
9,tiksi,71.6872,128.8694,-38.29,98,38,2.9,RU,1708358998
10,serenje,-13.2325,30.2352,21.25,67,66,1.92,ZM,1708358998
11,tionk essil,12.7856,-16.5217,35.64,28,77,5.24,SN,1708358998
12,edinburgh of the seven seas,-37.0676,-12.3116,14.47,54,38,2.76,SH,1708358998
13,ust-kamenogorsk,49.9789,82.6103,-34.47,100,75,1.51,KZ,1708358875
14,mount pearl,47.5166,-52.7813,-1.69,89,100,4.12,CA,1708358998
15,longyearbyen,78.2186,15.6401,-15.09,72,20,1.03,SJ,1708358998
16,jinsha,32.0898,121.0735,6.22,92,100,6.53,CN,1708358999
17,novo aripuana,-5.1206,-60.3797,24.31,97,100,0.86,BR,1708358999
18,ushuaia,-54.8,-68.3,11.79,66,40,2.57,AR,1708359000
19,kerikeri,-35.2268,173.9474,13.84,91,9,1.78,NZ,1708359000
20,somero,60.6167,23.5333,-0.58,94,100,2.84,FI,1708359000
21,powell,40.1578,-83.0752,3.11,67,0,3.6,US,1708358866
22,isafjordur,66.0755,-23.124,2.77,98,100,3.03,IS,1708359000
23,iqaluit,63.7506,-68.5145,-30.15,67,0,6.71,CA,1708358921
24,las heras,-46.5419,-68.9359,24.44,38,24,3.37,AR,1708359001
25,alice springs,-23.7,133.8833,27.34,64,100,1.54,AU,1708359001
26,uturoa,-16.7333,-151.4333,27.38,78,100,2.56,PF,1708359001
27,papatowai,-46.5619,169.4708,9.17,60,59,8.7,NZ,1708359001
28,queenstown,-31.8976,26.8753,25.86,47,1,9.8,ZA,1708359001
29,rongelap,11.1635,166.8941,26.02,82,99,7.83,MH,1708359002
30,jamestown,42.097,-79.2353,-0.82,68,28,2.84,US,1708359002
31,midland,31.9974,-102.0779,16.37,35,0,7.2,US,1708359002
32,grytviken,-54.2811,-36.5092,5.13,97,99,5.86,GS,1708359002
33,port augusta,-32.5,137.7667,28.12,18,97,4.32,AU,1708359002
34,pangody,65.85,74.4859,-11.96,92,100,10.11,RU,1708359010
35,san patricio,28.017,-97.5169,16.92,54,0,2.9,US,1708359010
36,ilulissat,69.2167,-51.1,1.01,47,75,3.09,GL,1708359010
37,port elizabeth,-33.918,25.5701,26.17,81,32,6.71,ZA,1708359010
38,igarka,67.4667,86.5833,-19.29,96,100,9.96,RU,1708359011
39,hawaiian paradise park,19.5933,-154.9731,20.73,80,100,3.6,US,1708359011
40,ust-nera,64.5667,143.2,-29.41,100,100,1.2,RU,1708359011
41,mhamid,29.82,-5.72,23.48,19,0,4.74,MA,1708359012
42,abingdon,51.6711,-1.2828,12.9,67,75,5.14,GB,1708358849
43,bredasdorp,-34.5322,20.0403,25.23,55,0,6.6,ZA,1708359016
44,sayalkudi,9.1833,78.45,26.39,77,0,7.93,IN,1708359016
45,susuman,62.7833,148.1667,-29.45,87,100,1.34,RU,1708359016
46,tranas,58.0372,14.9782,0.77,98,100,2.14,SE,1708359016
47,waitangi,-43.9535,-176.5597,17.68,93,16,4.47,NZ,1708359017
48,kaa-khem,51.6833,94.7333,-33.66,88,41,2.02,RU,1708359018
49,kailua-kona,19.6406,-155.9956,20.84,67,0,2.57,US,1708359018
50,mil'kovo,55.6078,37.7956,-5.27,99,66,1.16,RU,1708359018
51,jumla,29.2747,82.1838,3.72,91,99,2.49,NP,1708359019
52,vondrozo,-22.8167,47.2833,19.9,91,89,1.69,MG,1708359023
53,yellowknife,62.456,-114.3525,-25.33,91,20,1.03,CA,1708358728
54,lorengau,-2.0226,147.2712,28.13,80,97,4.67,PG,1708359024
55,argo,37.6333,22.7333,14.32,75,94,1.88,GR,1708359024
56,punta arenas,-53.15,-70.9167,11.06,93,100,5.66,CL,1708359025
57,palanga,55.9175,21.0686,1.01,86,100,4.63,LT,1708359026
58,vilyuchinsk,52.9306,158.4028,-9.86,82,98,1.63,RU,1708359026
59,badger,64.8,-147.5333,-12.23,83,40,0.0,US,1708359027
60,blackmans bay,-43.0167,147.3167,15.07,76,96,2.69,AU,1708359027
61,nova sintra,14.8667,-24.7167,21.43,75,0,5.78,CV,1708359027
62,stanley,54.868,-1.6985,9.77,79,20,7.72,GB,1708359028
63,sanming,26.2486,117.6186,20.44,83,0,1.41,CN,1708359028
64,san antonio de pale,-1.4014,5.6325,29.19,74,27,4.67,GQ,1708359029
65,kodiak,57.79,-152.4072,2.73,93,100,7.2,US,1708359029
66,lihue,21.9789,-159.3672,21.77,55,100,8.75,US,1708359029
67,kupang,-10.1667,123.5833,27.32,100,20,1.54,ID,1708359031
68,quellon,-43.1167,-73.6167,18.59,75,5,5.42,CL,1708358945
69,cabedelo,-6.9811,-34.8339,31.37,64,45,4.25,BR,1708359031
70,guerrero negro,27.9769,-114.0611,15.57,72,44,4.33,MX,1708359032
71,al jawf,29.5,38.75,15.74,37,4,2.16,SA,1708359032
72,greymouth,-42.4667,171.2,11.53,77,81,4.68,NZ,1708358964
73,burang,30.25,81.1667,-6.14,95,100,3.36,CN,1708359032
74,boende,-0.2167,20.8667,33.47,40,73,1.65,CD,1708359033
75,utrik,11.2278,169.8474,26.3,84,97,6.84,MH,1708359033
76,geraldton,-28.7667,114.6,24.23,60,75,0.0,AU,1708359033
77,"kampung bukit tinggi, bentong",3.35,101.8167,24.32,96,99,1.17,MY,1708359034
78,dawei,14.0833,98.2,22.78,72,92,0.85,MM,1708359034
79,turinskaya sloboda,57.6232,64.3858,-12.71,84,6,5.02,RU,1708359034
80,mount gambier,-37.8333,140.7667,13.94,94,100,3.47,AU,1708359035
81,fada,9.5667,8.3,35.74,11,5,2.69,NG,1708359036
82,hovd,48.0056,91.6419,-21.27,68,99,1.53,MN,1708359036
83,at taj,24.2049,23.2857,19.59,22,26,4.62,LY,1708359038
84,west island,-12.1568,96.8225,27.99,78,72,2.06,CC,1708359038
